,Team,Team Initials,Appearances,Winner,Runners-Up,Third,Fourth,Finals,Semi-finals,Quarter-finals,Round of 16,Matches,Won Matches,Lost Matches,Draws,Attendance,Home Goals for,Away Goals for,Home Goals against,Away Goals against,Half-time Home Goals for,Half-time Away Goals for,Half-time Home Goals against,Half-time Away Goals against,Goals for,Goals against,Half-time Goals for,Half-time Goals against,Home Goals difference,Away Goals difference,Goals difference,Half-time Goals difference,Yellow cards,Red cards
63,Cuba,CUB,1,0,0,0,0,0,0,1,0,3,1,1,1,22000.0,5.0,0.0,4.0,8.0,0.0,0.0,1.0,4.0,5.0,12.0,0.0,5.0,1.0,-8.0,-7.0,-5.0,0,0
64,Bosnia and Herzegovina,BIH,1,0,0,0,0,0,0,0,0,3,1,2,0,163248.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0,2.0,2.0,-2.0,0.0,-1.0,3,0
65,Jamaica,JAM,1,0,0,0,0,0,0,0,0,3,1,2,0,122700.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,9.0,2.0,2.0,-2.0,-4.0,-6.0,0.0,7,1
66,Czech Republic,CZE,1,0,0,0,0,0,0,0,0,3,1,2,0,147000.0,0.0,3.0,4.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,-4.0,3.0,-1.0,0.0,8,2
67,Serbia and Montenegro,SCG,1,0,0,0,0,0,0,0,0,3,0,3,0,161000.0,0.0,2.0,1.0,9.0,0.0,2.0,1.0,4.0,2.0,10.0,2.0,5.0,-1.0,-7.0,-8.0,-3.0,13,2
68,Serbia,SRB,1,0,0,0,0,0,0,0,0,3,1,2,0,114963.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,-1.0,0.0,-1.0,1.0,11,1
69,United Arab Emirates,UAE,1,0,0,0,0,0,0,0,0,3,0,3,0,129793.0,0.0,2.0,2.0,9.0,0.0,1.0,0.0,4.0,2.0,11.0,1.0,4.0,-2.0,-7.0,-9.0,-3.0,8,1
70,Haiti,HAI,1,0,0,0,0,0,0,0,0,3,0,3,0,104200.0,0.0,2.0,7.0,7.0,0.0,0.0,5.0,2.0,2.0,14.0,0.0,7.0,-7.0,-5.0,-12.0,-7.0,3,0
71,Kuwait,KUW,1,0,0,0,0,0,0,0,0,3,0,2,1,94743.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,4.0,0.0,-4.0,-4.0,-4.0,3,0
72,Israel,ISR,1,0,0,0,0,0,0,0,0,3,0,1,2,40168.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,-2.0,-2.0,-1.0,4,0
73,Togo,TOG,1,0,0,0,0,0,0,0,0,3,0,3,0,158000.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,-4.0,-1.0,-5.0,0.0,11,1
74,Angola,ANG,1,0,0,0,0,0,0,0,0,3,0,1,2,126000.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,12,1
75,Iraq,IRQ,1,0,0,0,0,0,0,0,0,3,0,3,0,147763.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,3.0,-2.0,-1.0,-3.0,-3.0,11,1
76,China PR,CHN,1,0,0,0,0,0,0,0,0,3,0,3,0,107572.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,5.0,-2.0,-7.0,-9.0,-5.0,5,1
77,Trinidad and Tobago,TRI,1,0,0,0,0,0,0,0,0,3,0,2,1,149959.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,-4.0,-4.0,-1.0,11,1
78,Canada,CAN,1,0,0,0,0,0,0,0,0,3,0,3,0,93500.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,-1.0,-4.0,-5.0,-1.0,2,1
79,Zaire,ZAI,1,0,0,0,0,0,0,0,0,3,0,3,0,94900.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0,6.0,0.0,14.0,0.0,9.0,-5.0,-9.0,-14.0,-9.0,2,1
80,Dutch East Indies,INH,1,0,0,0,0,0,0,0,0,1,0,1,0,9000.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,4.0,0.0,-6.0,-6.0,-4.0,0,0
