,Team,Team Initials,Appearances,Winner,Runners-Up,Third,Fourth,Semi-finals,Quarter-finals,Round of 16,Matches,Won Matches,Lost Matches,Draws,Attendance,Home Goals for,Away Goals for,Home Goals against,Away Goals against,Half-time Home Goals for,Half-time Away Goals for,Half-time Home Goals against,Half-time Away Goals against,Goals for,Goals against,Half-time Goals for,Half-time Goals against,Home Goals difference,Away Goals difference,Goals difference,Half-time Goals difference,Yellow cards,Red cards
7,Brazil,BRA,20,5,2,2,2,11,14,9,108,71,19,18,5925042.0,180.0,45.0,78.0,36.0,66.0,17.0,40.0,18.0,225.0,114.0,83.0,58.0,102.0,9.0,111.0,25.0,110,11
13,Germany,GER,18,4,4,4,1,13,15,9,110,70,20,20,5581666.0,168.0,67.0,68.0,55.0,66.0,30.0,24.0,15.0,235.0,123.0,96.0,39.0,100.0,12.0,112.0,57.0,81,4
15,Italy,ITA,18,4,2,1,1,8,8,6,83,45,17,21,4209004.0,99.0,29.0,41.0,36.0,36.0,13.0,13.0,13.0,128.0,77.0,49.0,26.0,58.0,-7.0,51.0,23.0,93,8
4,Argentina,ARG,16,2,3,0,0,5,8,8,81,44,22,15,4308026.0,111.0,22.0,44.0,41.0,48.0,8.0,14.0,16.0,133.0,85.0,56.0,30.0,67.0,-19.0,48.0,26.0,121,9
6,Uruguay,URU,12,2,0,0,3,5,4,5,52,20,20,12,2314405.0,62.0,18.0,29.0,44.0,27.0,6.0,14.0,17.0,80.0,73.0,33.0,31.0,33.0,-26.0,7.0,2.0,65,9
18,England,ENG,14,1,0,0,1,2,8,6,62,26,16,20,2940845.0,54.0,25.0,20.0,36.0,20.0,11.0,5.0,9.0,79.0,56.0,31.0,14.0,34.0,-11.0,23.0,17.0,51,3
0,France,FRA,14,1,1,2,1,5,7,5,61,29,20,12,2787187.0,68.0,40.0,31.0,41.0,25.0,17.0,12.0,15.0,108.0,72.0,42.0,27.0,37.0,-1.0,36.0,15.0,60,6
14,Spain,ESP,14,1,0,0,1,2,6,6,59,29,18,12,2638930.0,50.0,42.0,30.0,36.0,16.0,20.0,11.0,14.0,92.0,66.0,36.0,25.0,20.0,6.0,26.0,11.0,64,1
34,Netherlands,NED,10,0,3,1,1,5,5,7,54,29,11,14,2867980.0,51.0,40.0,21.0,28.0,19.0,18.0,9.0,8.0,91.0,49.0,37.0,17.0,30.0,12.0,42.0,20.0,108,7
22,Mexico,MEX,15,0,0,0,0,0,2,8,54,14,26,14,2604898.0,22.0,36.0,11.0,83.0,10.0,6.0,6.0,35.0,58.0,94.0,16.0,41.0,11.0,-47.0,-36.0,-25.0,77,6
12,Sweden,SWE,11,0,1,2,1,4,4,3,46,16,17,13,2024201.0,53.0,21.0,25.0,44.0,23.0,10.0,11.0,17.0,74.0,69.0,33.0,28.0,28.0,-23.0,5.0,5.0,44,3
